year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0.001488095238095238	3	2016
1949	0.0007993605115907274	2	2502
1950	0.0003606202668589975	1	2773
1951	0.0014209591474245115	4	2815
1952	0.0017158544955387784	5	2914
1953	0.0009891196834817012	3	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0.0005212405525149857	2	3837
1957	0.0005209690023443605	2	3839
1958	0.0008023535704733886	3	3739
1959	0.0005242463958060288	2	3815
1960	0.0010596026490066225	4	3775
1961	0.0015862225243598459	7	4413
1962	0.00047996160307175426	2	4167
1963	0.0010909884355225835	5	4583
1964	0.0016016016016016017	8	4995
1965	0.0014911463187325257	8	5365
1966	0.0018148820326678765	10	5510
1967	0.000709471443774388	4	5638
1968	0.0015045135406218655	9	5982
1969	0.0034518467380048328	20	5794
1970	0.0018496721035816377	11	5947
1971	0.0013977635782747603	7	5008
1972	0.0014560750687591004	9	6181
1973	0.0011824324324324325	7	5920
1974	0.0009532888465204957	5	5245
1975	0.0010070493454179255	5	4965
1976	0.0019451468585878235	10	5141
1977	0.0027782922763474717	15	5399
1978	0.001266051727256285	7	5529
1979	0.0013260087137715476	7	5279
1980	0.002029520295202952	11	5420
1981	0.0013135672734096453	7	5329
1982	0.0024440684339161497	13	5319
1983	0.0034058656575212867	18	5285
1984	0.002066115702479339	11	5324
1985	0.0010498687664041995	6	5715
1986	0.0030852294639413806	16	5186
1987	0.0036569756811117207	20	5469
1988	0.002360631923007082	13	5507
1989	0.0031380753138075313	18	5736
1990	0.003157894736842105	18	5700
1991	0.003904260736717026	23	5891
1992	0.0018400802944128472	11	5978
1993	0.004363148179224702	26	5959
1994	0.00481008459114281	29	6029
1995	0.0038910505836575876	25	6425
1996	0.003481156349326472	23	6607
1997	0.003704389701796629	20	5399
1998	0.0035842293906810036	13	3627
1999	0.0025466893039049238	18	7068
2000	0.0038910505836575876	32	8224
2001	0.005041048538095924	35	6943
2002	0.0028763183125599234	15	5215
2003	0.004584606835232009	33	7198
2004	0.0019455252918287938	13	6682
2005	0.00275974025974026	17	6160
2006	0.001729106628242075	6	3470
2007	0.003811338732729871	8	2099
2008	0.0018864534674811354	21	11132
2009	0.001132300357568534	19	16780
2010	0.001951092611862643	30	15376
2011	0.0012254901960784314	18	14688
2012	0.0015579123973875008	26	16689
2013	0.0015106527061520029	29	19197
