year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0.0003606202668589975	1	2773
1951	0.00035523978685612787	1	2815
1952	0.0013726835964310226	4	2914
1953	0.0006594131223211342	2	3033
1954	0.00030703101013202335	1	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0.0005349023803155924	2	3739
1959	0.0010484927916120576	4	3815
1960	0.0018543046357615894	7	3775
1961	0.0013596193065941536	6	4413
1962	0.0009599232061435085	4	4167
1963	0.0004363953742090334	2	4583
1964	0.0018018018018018018	9	4995
1965	0.0009319664492078285	5	5365
1966	0.0007259528130671506	4	5510
1967	0.001064207165661582	6	5638
1968	0.0010030090270812437	6	5982
1969	0.00034518467380048324	2	5794
1970	0.0013452160753321001	8	5947
1971	0.0007987220447284345	4	5008
1972	0.0008089305937550558	5	6181
1973	0.00033783783783783786	2	5920
1974	0.00038131553860819826	2	5245
1975	0.0010070493454179255	5	4965
1976	0.001167088115152694	6	5141
1977	0.0014817558807186516	8	5399
1978	0.0007234581298607343	4	5529
1979	0.0009471490812653912	5	5279
1980	0.0012915129151291514	7	5420
1981	0.0009382623381497466	5	5329
1982	0.0005640157924421884	3	5319
1983	0.0013245033112582781	7	5285
1984	0.0011269722013523666	6	5324
1985	0.00017497812773403323	1	5715
1986	0.0001928268414963363	1	5186
1987	0.0021941854086670325	12	5469
1988	0.002542218994007627	14	5507
1989	0.0019177126917712692	11	5736
1990	0.0014035087719298245	8	5700
1991	0.0022067560685791886	13	5891
1992	0.0016728002676480427	10	5978
1993	0.0013425071320691392	8	5959
1994	0.0009951899154088573	6	6029
1995	0.001867704280155642	12	6425
1996	0.0012108369910700772	8	6607
1997	0.0012965363956288201	7	5399
1998	0.0008271298593879239	3	3627
1999	0.0012733446519524619	9	7068
2000	0.0017023346303501946	14	8224
2001	0.001152239665850497	8	6943
2002	0.0013422818791946308	7	5215
2003	0.0016671297582661851	12	7198
2004	0.0010475905417539658	7	6682
2005	0.0017857142857142857	11	6160
2006	0.001440922190201729	5	3470
2007	0.0009528346831824678	2	2099
2008	0.0004491555874955084	5	11132
2009	0.0013706793802145411	23	16780
2010	0.0024713839750260145	38	15376
2011	0.001770152505446623	26	14688
2012	0.0018575109353466356	31	16689
2013	0.0010418294525186228	20	19197
