year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0.000496031746031746	1	2016
1949	0.0007993605115907274	2	2502
1950	0.0003606202668589975	1	2773
1951	0.0007104795737122557	2	2815
1952	0	0	2914
1953	0.0009891196834817012	3	3033
1954	0.00092109303039607	3	3257
1955	0.000778816199376947	3	3852
1956	0.00026062027625749283	1	3837
1957	0.0007814535035165407	3	3839
1958	0.0008023535704733886	3	3739
1959	0.0002621231979030144	1	3815
1960	0.0007947019867549669	3	3775
1961	0.00045320643553138455	2	4413
1962	0.0009599232061435085	4	4167
1963	0.0002181976871045167	1	4583
1964	0.0004004004004004004	2	4995
1965	0.00130475302889096	7	5365
1966	0.0009074410163339383	5	5510
1967	0.000532103582830791	3	5638
1968	0.0013373453694416582	8	5982
1969	0.0017259233690024164	10	5794
1970	0.0011770640659155877	7	5947
1971	0.0013977635782747603	7	5008
1972	0.002103219543763145	13	6181
1973	0.0008445945945945946	5	5920
1974	0.0032411820781696856	17	5245
1975	0.0014098690835850957	7	4965
1976	0.0021396615444466056	11	5141
1977	0.002222633821077977	12	5399
1978	0.0019895098571170193	11	5529
1979	0.0030308770600492516	16	5279
1980	0.002214022140221402	12	5420
1981	0.0015012197410395947	8	5329
1982	0.0018800526414739613	10	5319
1983	0.001892147587511826	10	5285
1984	0.002066115702479339	11	5324
1985	0.0019247594050743656	11	5715
1986	0.0030852294639413806	16	5186
1987	0.002011336624611446	11	5469
1988	0.0018158707100054477	10	5507
1989	0.002789400278940028	16	5736
1990	0.0010526315789473684	6	5700
1991	0.002037005601765405	12	5891
1992	0.00117096018735363	7	5978
1993	0.0018459473065950663	11	5959
1994	0.0021562448167191904	13	6029
1995	0.0015564202334630351	10	6425
1996	0.0016649008627213561	11	6607
1997	0.0025930727912576402	14	5399
1998	0.0013785497656465398	5	3627
1999	0.0007074136955291454	5	7068
2000	0.0023103112840466926	19	8224
2001	0.001152239665850497	8	6943
2002	0.0011505273250239693	6	5215
2003	0.0013892747985551543	10	7198
2004	0.00074827895839569	5	6682
2005	0.0011363636363636363	7	6160
2006	0.0011527377521613833	4	3470
2007	0.0023820867079561697	5	2099
2008	0.0006288178224937119	7	11132
2009	0.0005959475566150178	10	16780
2010	0.00045525494276795007	7	15376
2011	0.0006127450980392157	9	14688
2012	0.0005991970759182695	10	16689
2013	0.0005730061988852425	11	19197
