year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0.00023998080153587713	1	4167
1963	0	0	4583
1964	0.0004004004004004004	2	4995
1965	0.0007455731593662628	4	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0.0006903693476009665	4	5794
1970	0.00016815200941651252	1	5947
1971	0	0	5008
1972	0.0004853583562530335	3	6181
1973	0.00033783783783783786	2	5920
1974	0.0005719733079122975	3	5245
1975	0.0002014098690835851	1	4965
1976	0.00019451468585878233	1	5141
1977	0.0003704389701796629	2	5399
1978	0.001266051727256285	7	5529
1979	0.0011365788975184693	6	5279
1980	0.0007380073800738007	4	5420
1981	0.0018765246762994933	10	5329
1982	0.0007520210565895845	4	5319
1983	0.0007568590350047304	4	5285
1984	0.0005634861006761833	3	5324
1985	0.0006999125109361329	4	5715
1986	0.0007713073659853452	4	5186
1987	0.0005485463521667581	3	5469
1988	0.0018158707100054477	10	5507
1989	0.0020920502092050207	12	5736
1990	0.0017543859649122807	10	5700
1991	0.0010185028008827025	6	5891
1992	0.00117096018735363	7	5978
1993	0.0013425071320691392	8	5959
1994	0.0006634599436059048	4	6029
1995	0.002178988326848249	14	6425
1996	0.0019676101104888753	13	6607
1997	0.002222633821077977	12	5399
1998	0.0005514199062586159	2	3627
1999	0.0021222410865874364	15	7068
2000	0.00316147859922179	26	8224
2001	0.003888808872245427	27	6943
2002	0.0023010546500479385	12	5215
2003	0.004167824395665463	30	7198
2004	0.0028434600419036215	19	6682
2005	0.0025974025974025974	16	6160
2006	0.00345821325648415	12	3470
2007	0.004287756074321105	9	2099
2008	0.0018864534674811354	21	11132
2009	0.002264600715137068	38	16780
2010	0.0027965660770031217	43	15376
2011	0.0025871459694989107	38	14688
2012	0.0014979926897956738	25	16689
2013	0.001614835651403865	31	19197
