year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.001488095238095238	3	2016
1949	0	0	2502
1950	0	0	2773
1951	0.0010657193605683837	3	2815
1952	0.001029512697323267	3	2914
1953	0.0006594131223211342	2	3033
1954	0	0	3257
1955	0.000778816199376947	3	3852
1956	0.0010424811050299713	4	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0.0005242463958060288	2	3815
1960	0	0	3775
1961	0.00045320643553138455	2	4413
1962	0.0007199424046076314	3	4167
1963	0.0006545930613135501	3	4583
1964	0.001001001001001001	5	4995
1965	0.0005591798695246971	3	5365
1966	0	0	5510
1967	0	0	5638
1968	0.0005015045135406219	3	5982
1969	0.0006903693476009665	4	5794
1970	0	0	5947
1971	0.0005990415335463259	3	5008
1972	0.000970716712506067	6	6181
1973	0.0005067567567567568	3	5920
1974	0.0007626310772163965	4	5245
1975	0.0010070493454179255	5	4965
1976	0.00038902937171756465	2	5141
1977	0.0007408779403593258	4	5399
1978	0.0014469162597214686	8	5529
1979	0.0007577192650123129	4	5279
1980	0.00036900369003690036	2	5420
1981	0.0007506098705197974	4	5329
1982	0.0005640157924421884	3	5319
1983	0.000946073793755913	5	5285
1984	0.0011269722013523666	6	5324
1985	0.0006999125109361329	4	5715
1986	0.0007713073659853452	4	5186
1987	0.0007313951362223441	4	5469
1988	0.000726348284002179	4	5507
1989	0.0017433751743375174	10	5736
1990	0.0007017543859649122	4	5700
1991	0.0010185028008827025	6	5891
1992	0.0006691201070592171	4	5978
1993	0.0001678133915086424	1	5959
1994	0.0004975949577044286	3	6029
1995	0.001245136186770428	8	6425
1996	0.0009081277433025579	6	6607
1997	0.0003704389701796629	2	5399
1998	0.00027570995312930797	1	3627
1999	0.0005659309564233164	4	7068
2000	0.00048638132295719845	4	8224
2001	0.0005761198329252485	4	6943
2002	0.0005752636625119846	3	5215
2003	0.000972492358988608	7	7198
2004	0.000598623166716552	4	6682
2005	0.000487012987012987	3	6160
2006	0.0020172910662824206	7	3470
2007	0.0019056693663649356	4	2099
2008	0.0008084800574919152	9	11132
2009	0.0002979737783075089	5	16780
2010	0.0003251821019771072	5	15376
2011	0.0006808278867102397	10	14688
2012	0.0005392773683264426	9	16689
2013	0.0006771891441371047	13	19197
