year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0010698047606311847	4	3739
1959	0.0007863695937090433	3	3815
1960	0.0005298013245033113	2	3775
1961	0.00045320643553138455	2	4413
1962	0.00023998080153587713	1	4167
1963	0.0015273838097316168	7	4583
1964	0.0014014014014014013	7	4995
1965	0.005032618825722274	27	5365
1966	0.008892921960072596	49	5510
1967	0.009045760908123448	51	5638
1968	0.008525576730190571	51	5982
1969	0.011045909561615464	64	5794
1970	0.00924836051790819	55	5947
1971	0.0059904153354632585	30	5008
1972	0.004044652968775279	25	6181
1973	0.004054054054054054	24	5920
1974	0.0020972354623450904	11	5245
1975	0.004229607250755287	21	4965
1976	0.0013616028010114763	7	5141
1977	0.0016669753658084831	9	5399
1978	0.0027129679869777536	15	5529
1979	0.0028414472437961733	15	5279
1980	0.0018450184501845018	10	5420
1981	0.0020641771439294425	11	5329
1982	0.0009400263207369807	5	5319
1983	0.0017029328287606433	9	5285
1984	0.002253944402704733	12	5324
1985	0.0019247594050743656	11	5715
1986	0.0015426147319706903	8	5186
1987	0.0023770341927226183	13	5469
1988	0.002905393136008716	16	5507
1989	0.0015690376569037657	9	5736
1990	0.0019298245614035089	11	5700
1991	0.0015277542013240537	9	5891
1992	0.003011040481766477	18	5978
1993	0.0023493874811209934	14	5959
1994	0.0029855697462265714	18	6029
1995	0.0028015564202334632	18	6425
1996	0.0036325109732102314	24	6607
1997	0.004630487127245786	25	5399
1998	0.0041356492969396195	15	3627
1999	0.003254102999434069	23	7068
2000	0.0032830739299610895	27	8224
2001	0.003312689039320179	23	6943
2002	0.0024928092042186003	13	5215
2003	0.004584606835232009	33	7198
2004	0.0046393295420532775	31	6682
2005	0.003246753246753247	20	6160
2006	0.00345821325648415	12	3470
2007	0.006193425440686041	13	2099
2008	0.001976284584980237	22	11132
2009	0.0026817640047675805	45	16780
2010	0.0021462018730489074	33	15376
2011	0.0015659041394335512	23	14688
2012	0.0028162262568158665	47	16689
2013	0.0021878418502891076	42	19197
