year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.0005209690023443605	2	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0005591798695246971	3	5365
1966	0	0	5510
1967	0.000354735721887194	2	5638
1968	0.0006686726847208291	4	5982
1969	0.0005177770107007249	3	5794
1970	0.0005044560282495376	3	5947
1971	0.000998402555910543	5	5008
1972	0.0004853583562530335	3	6181
1973	0.00033783783783783786	2	5920
1974	0.00019065776930409913	1	5245
1975	0.0006042296072507553	3	4965
1976	0.00019451468585878233	1	5141
1977	0.0012965363956288201	7	5399
1978	0.001266051727256285	7	5529
1979	0.0007577192650123129	4	5279
1980	0.0005535055350553505	3	5420
1981	0.0009382623381497466	5	5329
1982	0.0018800526414739613	10	5319
1983	0.0017029328287606433	9	5285
1984	0.0007513148009015778	4	5324
1985	0.0010498687664041995	6	5715
1986	0.0019282684149633628	10	5186
1987	0.0010970927043335162	6	5469
1988	0.0012711094970038134	7	5507
1989	0.001394700139470014	8	5736
1990	0.0015789473684210526	9	5700
1991	0.0008487523340689187	5	5891
1992	0.0016728002676480427	10	5978
1993	0.0028528276556469205	17	5959
1994	0.0023221098026206667	14	6029
1995	0.00575875486381323	37	6425
1996	0.002875737853791433	19	6607
1997	0.003704389701796629	20	5399
1998	0.0041356492969396195	15	3627
1999	0.0038200339558573855	27	7068
2000	0.0048638132295719845	40	8224
2001	0.005329108454558548	37	6943
2002	0.004026845637583893	21	5215
2003	0.005418171714365101	39	7198
2004	0.005237952708769829	35	6682
2005	0.005357142857142857	33	6160
2006	0.004899135446685879	17	3470
2007	0.005717008099094807	12	2099
2008	0.0037729069349622707	42	11132
2009	0.0029201430274135875	49	16780
2010	0.003121748178980229	48	15376
2011	0.003880718954248366	57	14688
2012	0.004014620408652406	67	16689
2013	0.004063134864822629	78	19197
