year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0.00019968051118210862	1	5008
1972	0.00016178611875101117	1	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0004028197381671702	2	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0.00037885963250615644	2	5279
1980	0.00018450184501845018	1	5420
1981	0.0003753049352598987	2	5329
1982	0.0005640157924421884	3	5319
1983	0.000946073793755913	5	5285
1984	0.0003756574004507889	2	5324
1985	0.0013998250218722659	8	5715
1986	0.001349787890474354	7	5186
1987	0.0009142439202779302	5	5469
1988	0.0010895224260032686	6	5507
1989	0.0012203626220362621	7	5736
1990	0.0007017543859649122	4	5700
1991	0.0015277542013240537	9	5891
1992	0.0010036801605888257	6	5978
1993	0.0023493874811209934	14	5959
1994	0.0013269198872118096	8	6029
1995	0.001867704280155642	12	6425
1996	0.0013621916149538368	9	6607
1997	0.0014817558807186516	8	5399
1998	0.0013785497656465398	5	3627
1999	0.0011318619128466328	8	7068
2000	0.0018239299610894942	15	8224
2001	0.001152239665850497	8	6943
2002	0.0009587727708533077	5	5215
2003	0.0011114198388441233	8	7198
2004	0.000598623166716552	4	6682
2005	0.000487012987012987	3	6160
2006	0.0011527377521613833	4	3470
2007	0.0014292520247737017	3	2099
2008	0.0008983111749910168	10	11132
2009	0.0004767580452920143	8	16780
2010	0.0013007284079084287	20	15376
2011	0.0011574074074074073	17	14688
2012	0.0008388759062855773	14	16689
2013	0.0008855550346408293	17	19197
