year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0.0005192107995846313	2	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0.0005349023803155924	2	3739
1959	0.001310615989515072	5	3815
1960	0.00026490066225165563	1	3775
1961	0	0	4413
1962	0.0007199424046076314	3	4167
1963	0	0	4583
1964	0.001001001001001001	5	4995
1965	0.0001863932898415657	1	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.00033433634236041456	2	5982
1969	0.0005177770107007249	3	5794
1970	0.0008407600470825626	5	5947
1971	0.00019968051118210862	1	5008
1972	0.0008089305937550558	5	6181
1973	0.0008445945945945946	5	5920
1974	0.0007626310772163965	4	5245
1975	0.0006042296072507553	3	4965
1976	0.00019451468585878233	1	5141
1977	0.00018521948508983145	1	5399
1978	0.0005425935973955507	3	5529
1979	0.00037885963250615644	2	5279
1980	0.00018450184501845018	1	5420
1981	0.0007506098705197974	4	5329
1982	0.00037601052829479227	2	5319
1983	0.0007568590350047304	4	5285
1984	0.001314800901577761	7	5324
1985	0.00034995625546806647	2	5715
1986	0.0007713073659853452	4	5186
1987	0.0010970927043335162	6	5469
1988	0.000726348284002179	4	5507
1989	0.000697350069735007	4	5736
1990	0.0014035087719298245	8	5700
1991	0.0010185028008827025	6	5891
1992	0.0018400802944128472	11	5978
1993	0.0013425071320691392	8	5959
1994	0.0009951899154088573	6	6029
1995	0.0017120622568093384	11	6425
1996	0.0019676101104888753	13	6607
1997	0.003704389701796629	20	5399
1998	0.0024813895781637717	9	3627
1999	0.005234861346915676	37	7068
2000	0.0035262645914396888	29	8224
2001	0.00547313841278986	38	6943
2002	0.0026845637583892616	14	5215
2003	0.003612114476243401	26	7198
2004	0.0026938042502244837	18	6682
2005	0.004383116883116883	27	6160
2006	0.001729106628242075	6	3470
2007	0.0033349213911386373	7	2099
2008	0.0025152712899748474	28	11132
2009	0.0037544696066746128	63	16780
2010	0.006243496357960458	96	15376
2011	0.006535947712418301	96	14688
2012	0.004134459823836059	69	16689
2013	0.00411522633744856	79	19197
