year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0.0003606202668589975	1	2773
1951	0.003197158081705151	9	2815
1952	0.002059025394646534	6	2914
1953	0.0013188262446422684	4	3033
1954	0.00092109303039607	3	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.0007814535035165407	3	3839
1958	0.0002674511901577962	1	3739
1959	0.0005242463958060288	2	3815
1960	0.00026490066225165563	1	3775
1961	0.00022660321776569228	1	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0.0004004004004004004	2	4995
1965	0.0005591798695246971	3	5365
1966	0.0003629764065335753	2	5510
1967	0.000177367860943597	1	5638
1968	0.0006686726847208291	4	5982
1969	0.0006903693476009665	4	5794
1970	0.0006726080376660501	4	5947
1971	0.0005990415335463259	3	5008
1972	0.0008089305937550558	5	6181
1973	0.00016891891891891893	1	5920
1974	0.0005719733079122975	3	5245
1975	0.0012084592145015106	6	4965
1976	0.0009725734292939117	5	5141
1977	0.0005556584552694943	3	5399
1978	0.001266051727256285	7	5529
1979	0.00037885963250615644	2	5279
1980	0.001107011070110701	6	5420
1981	0.0018765246762994933	10	5329
1982	0.0005640157924421884	3	5319
1983	0.000946073793755913	5	5285
1984	0.0011269722013523666	6	5324
1985	0.00034995625546806647	2	5715
1986	0.0019282684149633628	10	5186
1987	0.0009142439202779302	5	5469
1988	0.002542218994007627	14	5507
1989	0.0010460251046025104	6	5736
1990	0.0014035087719298245	8	5700
1991	0.0008487523340689187	5	5891
1992	0.0010036801605888257	6	5978
1993	0.0016781339150864238	10	5959
1994	0.0013269198872118096	8	6029
1995	0.000933852140077821	6	6425
1996	0.0013621916149538368	9	6607
1997	0.0016669753658084831	9	5399
1998	0.0016542597187758478	6	3627
1999	0.0019807583474816073	14	7068
2000	0.0024319066147859923	20	8224
2001	0.0048970185798646116	34	6943
2002	0.005752636625119847	30	5215
2003	0.0031953320366768546	23	7198
2004	0.0037413947919784497	25	6682
2005	0.0021103896103896102	13	6160
2006	0.00345821325648415	12	3470
2007	0.0028585040495474035	6	2099
2008	0.001706791232482932	19	11132
2009	0.0032777115613825984	55	16780
2010	0.0033818938605619147	52	15376
2011	0.00394880174291939	58	14688
2012	0.0038348612858769247	64	16689
2013	0.0076053550033859454	146	19197
