year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0.0005242463958060288	2	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0.000354735721887194	2	5638
1968	0.00033433634236041456	2	5982
1969	0.00034518467380048324	2	5794
1970	0.0006726080376660501	4	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0.00033783783783783786	2	5920
1974	0.00019065776930409913	1	5245
1975	0.0004028197381671702	2	4965
1976	0.00019451468585878233	1	5141
1977	0.0003704389701796629	2	5399
1978	0.00036172906493036716	2	5529
1979	0.00037885963250615644	2	5279
1980	0.00018450184501845018	1	5420
1981	0.0003753049352598987	2	5329
1982	0.00037601052829479227	2	5319
1983	0.0011352885525070956	6	5285
1984	0.0009391435011269722	5	5324
1985	0.0012248468941382328	7	5715
1986	0.0011569610489780178	6	5186
1987	0.0010970927043335162	6	5469
1988	0.000726348284002179	4	5507
1989	0.0010460251046025104	6	5736
1990	0.0012280701754385965	7	5700
1991	0.001188253267696486	7	5891
1992	0.0025092004014720644	15	5978
1993	0.0008390669575432119	5	5959
1994	0.001658649859014762	10	6029
1995	0.0026459143968871595	17	6425
1996	0.0018162554866051157	12	6607
1997	0.002222633821077977	12	5399
1998	0.0030328094844223876	11	3627
1999	0.003395585738539898	24	7068
2000	0.009119649805447471	75	8224
2001	0.0059052282874837965	41	6943
2002	0.0023010546500479385	12	5215
2003	0.002361767157543762	17	7198
2004	0.0034420832086201735	23	6682
2005	0.0011363636363636363	7	6160
2006	0.001729106628242075	6	3470
2007	0.0014292520247737017	3	2099
2008	0.0007186489399928135	8	11132
2009	0.0005363528009535161	9	16780
2010	0.0016909469302809573	26	15376
2011	0.0012935729847494554	19	14688
2012	0.0007789561986937504	13	16689
2013	0.0009376465072667605	18	19197
