year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0	0	2502
1950	0.00144248106743599	4	2773
1951	0.0007104795737122557	2	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0.0006140620202640467	2	3257
1955	0.000778816199376947	3	3852
1956	0.0007818608287724785	3	3837
1957	0.00026048450117218026	1	3839
1958	0.0008023535704733886	3	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0.0006798096532970768	3	4413
1962	0.0021598272138228943	9	4167
1963	0.0008727907484180668	4	4583
1964	0.0016016016016016017	8	4995
1965	0.0029822926374650513	16	5365
1966	0.001088929219600726	6	5510
1967	0.001418942887548776	8	5638
1968	0.0031761952524239387	19	5982
1969	0.0029340697273041077	17	5794
1970	0.0053808643013284006	32	5947
1971	0.003194888178913738	16	5008
1972	0.0022650056625141564	14	6181
1973	0.004391891891891892	26	5920
1974	0.0038131553860819827	20	5245
1975	0.004833836858006042	24	4965
1976	0.0033067496595992995	17	5141
1977	0.0029635117614373032	16	5399
1978	0.003436426116838488	19	5529
1979	0.002462587611290017	13	5279
1980	0.0025830258302583027	14	5420
1981	0.004503659223118784	24	5329
1982	0.0028200789622109417	15	5319
1983	0.003784295175023652	20	5285
1984	0.003005259203606311	16	5324
1985	0.003849518810148731	22	5715
1986	0.0055919784033937525	29	5186
1987	0.0027427317608337905	15	5469
1988	0.005629199201016888	31	5507
1989	0.004707112970711297	27	5736
1990	0.004210526315789474	24	5700
1991	0.005601765404854863	33	5891
1992	0.005687520910003346	34	5978
1993	0.0055378419197851985	33	5959
1994	0.007298059379664953	44	6029
1995	0.008715953307392997	56	6425
1996	0.006356894203117905	42	6607
1997	0.007408779403593258	40	5399
1998	0.005789909015715467	21	3627
1999	0.0077815506508206	55	7068
2000	0.009119649805447471	75	8224
2001	0.005329108454558548	37	6943
2002	0.008245445829338447	43	5215
2003	0.01180883578771881	85	7198
2004	0.00673451062556121	45	6682
2005	0.005681818181818182	35	6160
2006	0.0138328530259366	48	3470
2007	0.007146260123868509	15	2099
2008	0.005749191519942508	64	11132
2009	0.006793802145411204	114	16780
2010	0.008194588969823101	126	15376
2011	0.008306100217864924	122	14688
2012	0.007010605788243754	117	16689
2013	0.005469604625722769	105	19197
