year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0	0	4413
1962	0.00047996160307175426	2	4167
1963	0.0002181976871045167	1	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0.00033433634236041456	2	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0.00019968051118210862	1	5008
1972	0.00032357223750202233	2	6181
1973	0.00033783783783783786	2	5920
1974	0	0	5245
1975	0.0012084592145015106	6	4965
1976	0.0007780587434351293	4	5141
1977	0.0007408779403593258	4	5399
1978	0.0005425935973955507	3	5529
1979	0.00037885963250615644	2	5279
1980	0.00036900369003690036	2	5420
1981	0.001125914805779696	6	5329
1982	0.0005640157924421884	3	5319
1983	0.0017029328287606433	9	5285
1984	0.001314800901577761	7	5324
1985	0.002099737532808399	12	5715
1986	0.0023139220979560356	12	5186
1987	0.0021941854086670325	12	5469
1988	0.0019974577810059923	11	5507
1989	0.0031380753138075313	18	5736
1990	0.0043859649122807015	25	5700
1991	0.002376506535392972	14	5891
1992	0.0031783205085312814	19	5978
1993	0.002181574089612351	13	5959
1994	0.002487974788522143	15	6029
1995	0.0031128404669260703	20	6425
1996	0.0039352202209777505	26	6607
1997	0.0031487312465271347	17	5399
1998	0.0022056796250344637	8	3627
1999	0.00155631013016412	11	7068
2000	0.0030398832684824903	25	8224
2001	0.004464928705170675	31	6943
2002	0.0015340364333652923	8	5215
2003	0.0015282022784106697	11	7198
2004	0.002394492666866208	16	6682
2005	0.0011363636363636363	7	6160
2006	0.001440922190201729	5	3470
2007	0.0023820867079561697	5	2099
2008	0.0010779734099892202	12	11132
2009	0.002443384982121573	41	16780
2010	0.0027965660770031217	43	15376
2011	0.001838235294117647	27	14688
2012	0.0031158247947750016	52	16689
2013	0.00229202479554097	44	19197
