year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0.000721240533717995	2	2773
1951	0.00035523978685612787	1	2815
1952	0.00034317089910775565	1	2914
1953	0.0006594131223211342	2	3033
1954	0.00030703101013202335	1	3257
1955	0.00025960539979231567	1	3852
1956	0.0007818608287724785	3	3837
1957	0.00026048450117218026	1	3839
1958	0.0002674511901577962	1	3739
1959	0.0005242463958060288	2	3815
1960	0.0005298013245033113	2	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0.000532103582830791	3	5638
1968	0.00033433634236041456	2	5982
1969	0	0	5794
1970	0.00033630401883302503	2	5947
1971	0.000998402555910543	5	5008
1972	0.0006471444750040447	4	6181
1973	0.0005067567567567568	3	5920
1974	0.0007626310772163965	4	5245
1975	0.0012084592145015106	6	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0.0007234581298607343	4	5529
1979	0.0005682894487592347	3	5279
1980	0.00036900369003690036	2	5420
1981	0.000562957402889848	3	5329
1982	0.00037601052829479227	2	5319
1983	0.0015137180700094607	8	5285
1984	0.0016904583020285499	9	5324
1985	0.0013998250218722659	8	5715
1986	0.002699575780948708	14	5186
1987	0.0025598829767782046	14	5469
1988	0.002542218994007627	14	5507
1989	0.003312412831241283	19	5736
1990	0.0015789473684210526	9	5700
1991	0.0022067560685791886	13	5891
1992	0.0020073603211776514	12	5978
1993	0.0016781339150864238	10	5959
1994	0.001658649859014762	10	6029
1995	0.001867704280155642	12	6425
1996	0.0019676101104888753	13	6607
1997	0.0029635117614373032	16	5399
1998	0.0019299696719051558	7	3627
1999	0.006083757781550651	43	7068
2000	0.007417315175097276	61	8224
2001	0.008785827452110038	61	6943
2002	0.004410354745925216	23	5215
2003	0.0065295915532092245	47	7198
2004	0.005836575875486381	39	6682
2005	0.005032467532467532	31	6160
2006	0.004610951008645533	16	3470
2007	0.0023820867079561697	5	2099
2008	0.004401724757455983	49	11132
2009	0.005899880810488677	99	16780
2010	0.0053329864724245574	82	15376
2011	0.004425381263616557	65	14688
2012	0.004553897776978849	76	16689
2013	0.0046882325363338025	90	19197
