year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0018126888217522659	3	1655
1948	0.001488095238095238	3	2016
1949	0.0031974420463629096	8	2502
1950	0.00288496213487198	8	2773
1951	0.0021314387211367673	6	2815
1952	0.0030885380919698007	9	2914
1953	0.0023079459281239697	7	3033
1954	0.00184218606079214	6	3257
1955	0.001557632398753894	6	3852
1956	0.0013031013812874641	5	3837
1957	0.0015629070070330815	6	3839
1958	0.0016047071409467772	6	3739
1959	0.0002621231979030144	1	3815
1960	0.002913907284768212	11	3775
1961	0.0009064128710627691	4	4413
1962	0.0014398848092152627	6	4167
1963	0.0024001745581496837	11	4583
1964	0.001001001001001001	5	4995
1965	0.0005591798695246971	3	5365
1966	0.0007259528130671506	4	5510
1967	0.0008868393047179851	5	5638
1968	0.0008358408559010365	5	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0.000998402555910543	5	5008
1972	0.000970716712506067	6	6181
1973	0.00033783783783783786	2	5920
1974	0.00038131553860819826	2	5245
1975	0.0010070493454179255	5	4965
1976	0	0	5141
1977	0.0005556584552694943	3	5399
1978	0.00018086453246518358	1	5529
1979	0.0015154385300246258	8	5279
1980	0.0014760147601476014	8	5420
1981	0.001688872208669544	9	5329
1982	0.001504042113179169	8	5319
1983	0.0017029328287606433	9	5285
1984	0.002441773102930128	13	5324
1985	0.0010498687664041995	6	5715
1986	0.0017354415734670266	9	5186
1987	0.002011336624611446	11	5469
1988	0.002179044852006537	12	5507
1989	0.0029637377963737796	17	5736
1990	0.0035087719298245615	20	5700
1991	0.003395009336275675	20	5891
1992	0.0025092004014720644	15	5978
1993	0.0018459473065950663	11	5959
1994	0.0023221098026206667	14	6029
1995	0.001867704280155642	12	6425
1996	0.0018162554866051157	12	6607
1997	0.002037414335988146	11	5399
1998	0.0022056796250344637	8	3627
1999	0.0019807583474816073	14	7068
2000	0.0035262645914396888	29	8224
2001	0.0010082097076191847	7	6943
2002	0.0009587727708533077	5	5215
2003	0.0013892747985551543	10	7198
2004	0.0028434600419036215	19	6682
2005	0.002922077922077922	18	6160
2006	0.003170028818443804	11	3470
2007	0	0	2099
2008	0.0012576356449874237	14	11132
2009	0.0014302741358760429	24	16780
2010	0.0013007284079084287	20	15376
2011	0.0012254901960784314	18	14688
2012	0.0020372700581221164	34	16689
2013	0.0014585612335260719	28	19197
