year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0.000992063492063492	2	2016
1949	0.0003996802557953637	1	2502
1950	0.0010818608005769925	3	2773
1951	0.0017761989342806395	5	2815
1952	0.0013726835964310226	4	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.0005209690023443605	2	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.0013245033112582781	5	3775
1961	0.00045320643553138455	2	4413
1962	0.0014398848092152627	6	4167
1963	0.0015273838097316168	7	4583
1964	0.0008008008008008008	4	4995
1965	0.0011183597390493941	6	5365
1966	0.003629764065335753	20	5510
1967	0.0012415750266051792	7	5638
1968	0.004680708793045804	28	5982
1969	0.005522954780807732	32	5794
1970	0.0020178241129981504	12	5947
1971	0.002595846645367412	13	5008
1972	0.0016178611875101116	10	6181
1973	0.00033783783783783786	2	5920
1974	0.0019065776930409914	10	5245
1975	0.002215508559919436	11	4965
1976	0.0009725734292939117	5	5141
1977	0.0012965363956288201	7	5399
1978	0.001266051727256285	7	5529
1979	0.0009471490812653912	5	5279
1980	0.001107011070110701	6	5420
1981	0.0024394820791893415	13	5329
1982	0.003008084226358338	16	5319
1983	0.0030274361400189215	16	5285
1984	0.0033809166040570998	18	5324
1985	0.0013998250218722659	8	5715
1986	0.0023139220979560356	12	5186
1987	0.0014627902724446882	8	5469
1988	0.0016342836390049029	9	5507
1989	0.0020920502092050207	12	5736
1990	0.0029824561403508773	17	5700
1991	0.001188253267696486	7	5891
1992	0.0016728002676480427	10	5978
1993	0.0006712535660345696	4	5959
1994	0.0013269198872118096	8	6029
1995	0.0015564202334630351	10	6425
1996	0.0012108369910700772	8	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0.0008488964346349745	6	7068
2000	0.0009727626459143969	8	8224
2001	0.0010082097076191847	7	6943
2002	0.0007670182166826462	4	5215
2003	0.0011114198388441233	8	7198
2004	0.001197246333433104	8	6682
2005	0.0006493506493506494	4	6160
2006	0.0008645533141210375	3	3470
2007	0.0004764173415912339	1	2099
2008	0.00008983111749910169	1	11132
2009	0.0010727056019070322	18	16780
2010	0.0008454734651404787	13	15376
2011	0.0011574074074074073	17	14688
2012	0.00353526274791779	59	16689
2013	0.0014064697609001407	27	19197
