year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0.00045320643553138455	2	4413
1962	0.0007199424046076314	3	4167
1963	0.0002181976871045167	1	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0.00034518467380048324	2	5794
1970	0	0	5947
1971	0.00039936102236421724	2	5008
1972	0.0006471444750040447	4	6181
1973	0.00016891891891891893	1	5920
1974	0.00038131553860819826	2	5245
1975	0	0	4965
1976	0.0007780587434351293	4	5141
1977	0.0003704389701796629	2	5399
1978	0.00036172906493036716	2	5529
1979	0.00018942981625307822	1	5279
1980	0	0	5420
1981	0.0007506098705197974	4	5329
1982	0.0011280315848843769	6	5319
1983	0.0007568590350047304	4	5285
1984	0.0003756574004507889	2	5324
1985	0.0008748906386701663	5	5715
1986	0.0011569610489780178	6	5186
1987	0.0005485463521667581	3	5469
1988	0.0010895224260032686	6	5507
1989	0.0012203626220362621	7	5736
1990	0.0008771929824561404	5	5700
1991	0.00016975046681378373	1	5891
1992	0.00033456005352960856	2	5978
1993	0.0003356267830172848	2	5959
1994	0.0009951899154088573	6	6029
1995	0.0007782101167315176	5	6425
1996	0.0003027092477675193	2	6607
1997	0.00018521948508983145	1	5399
1998	0	0	3627
1999	0.0001414827391058291	1	7068
2000	0.00036478599221789884	3	8224
2001	0.00014402995823131211	1	6943
2002	0.0003835091083413231	2	5215
2003	0.0005557099194220616	4	7198
2004	0.0004489673750374139	3	6682
2005	0.000487012987012987	3	6160
2006	0.0011527377521613833	4	3470
2007	0.0004764173415912339	1	2099
2008	0.0007186489399928135	8	11132
2009	0.0007747318235995233	13	16780
2010	0.001040582726326743	16	15376
2011	0.00047657952069716776	7	14688
2012	0.0005392773683264426	9	16689
2013	0.0004167317810074491	8	19197
