year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0.0003606202668589975	1	2773
1951	0.0010657193605683837	3	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0.0006140620202640467	2	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0.0005242463958060288	2	3815
1960	0.0005298013245033113	2	3775
1961	0.0013596193065941536	6	4413
1962	0.0014398848092152627	6	4167
1963	0.0010909884355225835	5	4583
1964	0.0008008008008008008	4	4995
1965	0.0009319664492078285	5	5365
1966	0.001088929219600726	6	5510
1967	0.000354735721887194	2	5638
1968	0.0008358408559010365	5	5982
1969	0.0010355540214014498	6	5794
1970	0.0013452160753321001	8	5947
1971	0.00039936102236421724	2	5008
1972	0.0006471444750040447	4	6181
1973	0.0006756756756756757	4	5920
1974	0.0017159199237368923	9	5245
1975	0.0012084592145015106	6	4965
1976	0.0009725734292939117	5	5141
1977	0.0011113169105389886	6	5399
1978	0.0009043226623259179	5	5529
1979	0.0030308770600492516	16	5279
1980	0.0014760147601476014	8	5420
1981	0.0024394820791893415	13	5329
1982	0.003008084226358338	16	5319
1983	0.003784295175023652	20	5285
1984	0.004695717505634861	25	5324
1985	0.0059492563429571306	34	5715
1986	0.004435017354415735	23	5186
1987	0.005119765953556409	28	5469
1988	0.005992373343017977	33	5507
1989	0.005404463040446304	31	5736
1990	0.006491228070175438	37	5700
1991	0.006280767272109998	37	5891
1992	0.006691201070592171	40	5978
1993	0.003859708004698775	23	5959
1994	0.004975949577044286	30	6029
1995	0.004980544747081712	32	6425
1996	0.004843347964280309	32	6607
1997	0.005371365067605112	29	5399
1998	0.0027570995312930797	10	3627
1999	0.0043859649122807015	31	7068
2000	0.004012645914396887	33	8224
2001	0.0048970185798646116	34	6943
2002	0.0034515819750719078	18	5215
2003	0.0040288969158099475	29	7198
2004	0.002394492666866208	16	6682
2005	0.00275974025974026	17	6160
2006	0.0037463976945244955	13	3470
2007	0.0019056693663649356	4	2099
2008	0.0013474667624865254	15	11132
2009	0.003098927294398093	52	16780
2010	0.0026014568158168575	40	15376
2011	0.001770152505446623	26	14688
2012	0.003295583917550482	55	16689
2013	0.002604573631296557	50	19197
