year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0.0013245033112582781	5	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0.0004363953742090334	2	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.000544464609800363	3	5510
1967	0	0	5638
1968	0.00033433634236041456	2	5982
1969	0.0012081463583016915	7	5794
1970	0.00016815200941651252	1	5947
1971	0.0007987220447284345	4	5008
1972	0.0004853583562530335	3	6181
1973	0.0006756756756756757	4	5920
1974	0.00019065776930409913	1	5245
1975	0.0008056394763343404	4	4965
1976	0	0	5141
1977	0.0009260974254491572	5	5399
1978	0.00018086453246518358	1	5529
1979	0.00018942981625307822	1	5279
1980	0.00036900369003690036	2	5420
1981	0.0007506098705197974	4	5329
1982	0.00037601052829479227	2	5319
1983	0.0001892147587511826	1	5285
1984	0.0003756574004507889	2	5324
1985	0.0005249343832020997	3	5715
1986	0.0003856536829926726	2	5186
1987	0.0012799414883891023	7	5469
1988	0.00018158707100054475	1	5507
1989	0.000697350069735007	4	5736
1990	0.0008771929824561404	5	5700
1991	0.00016975046681378373	1	5891
1992	0.00033456005352960856	2	5978
1993	0.0010068803490518544	6	5959
1994	0.0009951899154088573	6	6029
1995	0.0007782101167315176	5	6425
1996	0.0006054184955350386	4	6607
1997	0.0007408779403593258	4	5399
1998	0.0008271298593879239	3	3627
1999	0.0002829654782116582	2	7068
2000	0.00036478599221789884	3	8224
2001	0.0018723894570070575	13	6943
2002	0.0003835091083413231	2	5215
2003	0.0013892747985551543	10	7198
2004	0.0008979347500748278	6	6682
2005	0.0003246753246753247	2	6160
2006	0.001440922190201729	5	3470
2007	0.0004764173415912339	1	2099
2008	0.00035932446999640676	4	11132
2009	0.0010131108462455305	17	16780
2010	0.0009105098855359001	14	15376
2011	0.0010212418300653595	15	14688
2012	0.0010785547366528852	18	16689
2013	0.0010418294525186228	20	19197
