year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00045320643553138455	2	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0008008008008008008	4	4995
1965	0.0009319664492078285	5	5365
1966	0.0007259528130671506	4	5510
1967	0.000532103582830791	3	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0.00016815200941651252	1	5947
1971	0.000998402555910543	5	5008
1972	0.0008089305937550558	5	6181
1973	0.00016891891891891893	1	5920
1974	0.0005719733079122975	3	5245
1975	0.0004028197381671702	2	4965
1976	0.00019451468585878233	1	5141
1977	0.00018521948508983145	1	5399
1978	0.00018086453246518358	1	5529
1979	0.00037885963250615644	2	5279
1980	0.00018450184501845018	1	5420
1981	0.0007506098705197974	4	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0.0005634861006761833	3	5324
1985	0.0005249343832020997	3	5715
1986	0.0003856536829926726	2	5186
1987	0.0007313951362223441	4	5469
1988	0.000726348284002179	4	5507
1989	0.000697350069735007	4	5736
1990	0.0008771929824561404	5	5700
1991	0.0006790018672551349	4	5891
1992	0.0006691201070592171	4	5978
1993	0.0015103205235777815	9	5959
1994	0.000829324929507381	5	6029
1995	0.0007782101167315176	5	6425
1996	0.0010594823671863176	7	6607
1997	0.0018521948508983144	10	5399
1998	0.0005514199062586159	2	3627
1999	0.0011318619128466328	8	7068
2000	0.0014591439688715954	12	8224
2001	0.002880599164626242	20	6943
2002	0.0003835091083413231	2	5215
2003	0.0013892747985551543	10	7198
2004	0.00149655791679138	10	6682
2005	0.001461038961038961	9	6160
2006	0.001729106628242075	6	3470
2007	0.0019056693663649356	4	2099
2008	0.0010779734099892202	12	11132
2009	0.00166865315852205	28	16780
2010	0.001495837669094693	23	15376
2011	0.0017020697167755992	25	14688
2012	0.0017376715201629816	29	16689
2013	0.0008334635620148982	16	19197
