year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0	0	3852
1956	0.0010424811050299713	4	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.000544464609800363	3	5510
1967	0.0008868393047179851	5	5638
1968	0.0010030090270812437	6	5982
1969	0.0005177770107007249	3	5794
1970	0.0008407600470825626	5	5947
1971	0.0007987220447284345	4	5008
1972	0.00016178611875101117	1	6181
1973	0.0005067567567567568	3	5920
1974	0	0	5245
1975	0.0004028197381671702	2	4965
1976	0	0	5141
1977	0.0007408779403593258	4	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0.00018450184501845018	1	5420
1981	0.0003753049352598987	2	5329
1982	0.0005640157924421884	3	5319
1983	0.0017029328287606433	9	5285
1984	0.0015026296018031556	8	5324
1985	0.0015748031496062992	9	5715
1986	0.0019282684149633628	10	5186
1987	0.0010970927043335162	6	5469
1988	0.0016342836390049029	9	5507
1989	0.000697350069735007	4	5736
1990	0.0010526315789473684	6	5700
1991	0.001188253267696486	7	5891
1992	0.0025092004014720644	15	5978
1993	0.0016781339150864238	10	5959
1994	0.0013269198872118096	8	6029
1995	0.000933852140077821	6	6425
1996	0.0010594823671863176	7	6607
1997	0.0012965363956288201	7	5399
1998	0.0011028398125172319	4	3627
1999	0.0002829654782116582	2	7068
2000	0.00048638132295719845	4	8224
2001	0.00014402995823131211	1	6943
2002	0.00019175455417066154	1	5215
2003	0.0005557099194220616	4	7198
2004	0.000299311583358276	2	6682
2005	0.0003246753246753247	2	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.00008983111749910169	1	11132
2009	0.0002979737783075089	5	16780
2010	0.0001951092611862643	3	15376
2011	0.0002042483660130719	3	14688
2012	0.0002396788303673078	4	16689
2013	0.00010418294525186227	2	19197
