year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00045320643553138455	2	4413
1962	0.00023998080153587713	1	4167
1963	0.0004363953742090334	2	4583
1964	0	0	4995
1965	0.0005591798695246971	3	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0.0006903693476009665	4	5794
1970	0.0008407600470825626	5	5947
1971	0.001996805111821086	10	5008
1972	0.0008089305937550558	5	6181
1973	0.002195945945945946	13	5920
1974	0.0005719733079122975	3	5245
1975	0.0010070493454179255	5	4965
1976	0.0009725734292939117	5	5141
1977	0.0007408779403593258	4	5399
1978	0.0005425935973955507	3	5529
1979	0.0020837279787838604	11	5279
1980	0.0016605166051660517	9	5420
1981	0.00018765246762994934	1	5329
1982	0.0011280315848843769	6	5319
1983	0.000946073793755913	5	5285
1984	0.003756574004507889	20	5324
1985	0.0013998250218722659	8	5715
1986	0.0011569610489780178	6	5186
1987	0.002011336624611446	11	5469
1988	0.0034501543490103505	19	5507
1989	0.0017433751743375174	10	5736
1990	0.002105263157894737	12	5700
1991	0.001188253267696486	7	5891
1992	0.0018400802944128472	11	5978
1993	0.0011746937405604967	7	5959
1994	0.0013269198872118096	8	6029
1995	0.0015564202334630351	10	6425
1996	0.0015135462388375966	10	6607
1997	0.0018521948508983144	10	5399
1998	0.0022056796250344637	8	3627
1999	0.001697792869269949	12	7068
2000	0.0029182879377431907	24	8224
2001	0.0024485092899323058	17	6943
2002	0.0015340364333652923	8	5215
2003	0.0031953320366768546	23	7198
2004	0.0013469021251122418	9	6682
2005	0.0016233766233766235	10	6160
2006	0.0037463976945244955	13	3470
2007	0.0019056693663649356	4	2099
2008	0.001167804527488322	13	11132
2009	0.00166865315852205	28	16780
2010	0.0006503642039542144	10	15376
2011	0.0016339869281045752	24	14688
2012	0.0008987956138774043	15	16689
2013	0.0014585612335260719	28	19197
